Species,Antibiotic,Year,N,Resistant,PercentResistant
Staphylococcus aureus,Tigecycline,2007,74,0,0.0
Staphylococcus aureus,Tigecycline,2008,29,0,0.0
Staphylococcus aureus,Tigecycline,2009,24,0,0.0
Staphylococcus aureus,Tigecycline,2015,49,0,0.0
Staphylococcus aureus,Tigecycline,2016,50,0,0.0
Staphylococcus aureus,Tigecycline,2018,28,0,0.0
Staphylococcus aureus,Tigecycline,2019,340,0,0.0
Staphylococcus aureus,Tigecycline,2020,357,0,0.0
Staphylococcus aureus,Tigecycline,2021,359,0,0.0
Staphylococcus aureus,Tigecycline,2022,315,0,0.0
Staphylococcus aureus,Tigecycline,2023,321,0,0.0
Staphylococcus aureus,Tigecycline,2024,302,0,0.0
