country,year,pathogen,antibiotic,resistance_pct
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,acridine_dye,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminocoumarin,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,aminoglycoside,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,0
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,benzalkonium_chloride,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
Global,2024.0,Escherichia coli,carbapenem,100
